Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Sukkot (Judaism),10/6/2025,,10/6/2025,,,(October 6 - 13)(Begins at sundown),,
Harvest Moon/ Chuseok/ Mid-Autumn Harvest Festival,10/6/2025,,10/6/2025,,,(October 6),,
Shemini Atzeret (Judaism),10/13/2025,,10/13/2025,,,(October 13 - 15) (Begins at sundown),,
National Coming Out Day (LGBTQ+),10/11/2026,,10/1/2026,,,(October 11) ,National Coming Out Day,
Simchat Torah (Judaism),10/14/2025,,10/14/2025,,,(October 14 - 15)(Begins at sundown),,
Diwali (Interfaith - Hinduism and Jain),10/20/2025,,10/20/2025,,,"(October 20 - 21) (Special worship) The five-day Festival of Lights, a New Year Festival, is one of the most popular holidays in South Asia and is celebrated by Hindus, Jains, Sikhs, and some Buddhists. Houses, shops, public places, and shrines are often decorated with lights. These symbolize the victory of light over darkness, good over evil, and knowledge over ignorance. Sikhs celebrate this as Bandi Chhor Divas, or a day when Guru Hargobind Sahib freed many innocent people from prison. 
",,
Birth of Baháúllah (Baháʼí),10/22/2025,,10/22/2025,,,(October 22 - 23),,
Birth of the Bab (Baháʼí),10/22/2025,,10/22/2025,,,(October 22 - 23) (Work restricted),,
Reformation Day (Protestant - Christian),10/31/2025,,10/31/2025,,,"(October 31)Reformation Day commemorates the beginning of the Protestant Reformation of Christianity, which began with Martin Luther's challenge to the Roman church in the sixteenth century C.E.",,
Native American Heritage Month,11/1/2025,,11/1/2025,,,(November 1 - 30) ,Native American Heritage Month,
All Saints Day (Christian - Catholic),11/1/2025,,11/1/2025,,,(November 1) (Special worship),,
All Souls Day - (Christian - Catholic),11/2/2025,,11/2/2025,,,November 2 (Special worship),,
Birthday of Guru Nanak Dev Sahib - (Sikhism),11/5/2025,,11/5/2025,,,(November 5),,
,,,,,,,,
Martyrdom of Guru Tegh Bahadur Ji (Sikhism),11/24/2025,,11/24/2025,,,"(November 24) This day commemorates the martyrdom of Guru Tegh Bahadur Ji (1621-1675), the ninth of the Ten Sikh Gurus. He is remembered not only for his defense of the Sikh faith but also for his defense of Hinduism and religious liberty.",,
Ascension of ’Abdu’l-Bahá (Baháʼí),11/26/2025,,11/26/2025,,,(November 26 - 27),,
Thanksgiving (Federal holiday),11/27/2025,,11/27/2025,,,(November 27),,
First Sunday of Advent (Christian - Protestant - Catholic),11/30/2025,,11/30/2025,,,(November 30),,
Bodhi Day (Buddhism),12/8/2025,,12/8/2025,,,"(December 8) Buddhist celebration of the Enlightenment of Buddha, ca. 596 B.C.E.",,
Feast of the Immaculate Conception (Catholic - Christian),12/8/2025,,12/8/2025,,,December 8,,
Feast of Our Lady of Guadalupe (Catholic - Christian),12/12/2025,,12/12/2025,,,December 12,,
Hanukkah (Judaism),12/14/2025,,12/14/2025,,,"(December 14 - 22) (Begins at sundown) The Feast of Lights (Feast of Dedication) is celebrated for eight days to commemorate the rededication of the Temple following the Jews' victory over occupying forces in 165 BCE, which temporarily reestablished their religious and political freedom.
",,
Hanukkah ends (Judaism),12/22/2025,,12/22/2025,,,,,
Christmas (Christian - Protestant - Catholic),12/25/2025,,12/25/2025,,,(December 25) Christmas celebrates the anniversary of the birth of Jesus.,,
Kwanzaa (Interfaith - African American),12/26/2025,,12/26/2025,,,"(December 26 - January 1) Kwanzaa is an annual seven-day African-American and pan-African holiday celebration from December 26 to January 1. For seven days, a principle (Nguzo Saba) is reflected upon, such as unity, self-determination, collective work and responsibility, cooperative economics, purpose, creativity, and faith. The final day climaxes with gift-giving and a feast called Karamu Ya Imani. The festival is a nonreligious holiday inspired by West African harvest celebrations. The word Kwanzaa means “first fruits.”",,
Muslim American Heritage Month,1/1/2026,,1/1/2026,,,(January 1 - 31) ,Muslim American Heritage Month,
"Feast of Mary, Mother of God (Catholic - Christian)",1/1/2026,,1/1/2026,,,(January 1) Special Worship,,
Birthday of Guru Gobind Singh Ji (Sikhism),1/6/2026,,1/6/2026,,,"(January 6) Guru Gobind Singh Ji (1666-1708), the 10th and final Sikh master, created the Khalsa, the ""Brotherhood of the Pure,"" and declared the Scriptures, the Adi 'Granth, to be the Sikh's Guru from that time on.",,
Epiphany (Christian - Catholic-Protestant),1/6/2026,,1/6/2026,,,(January 6) Epiphany marks the end of the 12 days of Christmas. It celebrates the visit of the Three Kings to the infant Jesus as the occasion of Christ's manifestation to the Gentiles. The day is significant in Latin cultures and Orthodox churches.,,
Theophany (Christian - Orthodox),1/6/2026,,1/6/2026,,, (January 6) The day commemorates Jesus's baptism and the manifestation of the Trinity. It is vital in Latine cultures and Orthodox churches. The Armenian Orthodox Church celebrates the nativity and theophany together.,,
Christmas - Eastern Orthodox (Eastern Orthodox Christian),1/7/2026,,1/7/2026,,,"(January 7) Unlike Western churches, Eastern Orthodox churches use the Julian calendar, and Eastern Orthodox Christmas falls on January 7 in the Gregorian (Western) calendar.",,
Birthday of Alī ibn Abī Țālib (Islam),1/14/2026,,1/14/2026,,,(January 14),,
Makary Sankranti/ Pongol (Hindu),1/14/2026,,1/14/2026,,,(January 14),,
Vasant Panchami / Sri Pancami (Hindu),1/23/2026,,1/23/2026,,,"(January 23) One of many festivals to honor the advent of spring, this day is celebrated mainly in North India. It is associated with Saraswati, the goddess of learning; however, it also retains a connection with the goddess Lakshmi.",,
Black History Month begins,2/1/2026,,2/1/2026,,,Febriary 1 - 28) ,Black History Month,
Tu B’Shevaat (Judaism),2/1/2026,,2/1/2026,,,(February 1 - 2)(Begins at sundown),,
Laylat al-Bara’ah (Islam),2/2/2026,,2/2/2026,,,(February 2 - 3) (Begins at sundown),,
Nirvana Day (Buddhism),2/15/2026,,2/15/2026,,,(February 15),,
Maha Shivaratri (Hindu),2/15/2026,,2/15/2026,,,(February 15 - 16) (Special worship),,
Lunar New Year (Interfaith/ National),2/17/2026,,2/17/2026,,,(February 17) (Work restricted),,
Ramadan (Islam),2/17/2026,,2/17/2026,,,"(February 17 - March 19) (Work restricted Friday afternoon) The Holy Month of Ramadan is the month of fasting during which Muslims are physically able to not eat or drink from the first sign of dawn until sunset in honor of the first revelations to the Prophet Muhammad. The evening meal is celebrated with family.
",,
Nineteen Day Fast (Baháʼí),2/28/2026,,2/28/2026,,,(February 28 - March 19) A designated 19-day period of fasting each year immediately before the Bahá’í New Year. Fasting is seen as a period of spiritual preparation and regeneration for the new year ahead.,,
Great Lent (Orthodox Christian),2/23/2026,,2/23/2026,,,"(February 23 - April 11) In Orthodox churches, the first day of Lent marks the beginning of the Great Fast, the final six weeks of 10 weeks leading up to Holy Week and Easter (Pascha). In the churches that follow the Gregorian calendar, Lent is a six-week observance (40 days excluding Sundays) beginning with Ash Wednesday and culminating in Holy Week. It is a time of repentance and sacrifice in preparation for Easter.",,
Ash Wednesday (Christian),2/18/2026,,2/18/2026,,,"(February 18) Ash Wednesday is a special day of repentance observed by Protestant and Roman Catholic Christians to mark the beginning of Lent, the 40 days (excluding Sundays) of prayer, repentance, and self-denial preceding Easter. The name derives from marking the faithful with ashes to signify penitence.",,
Greek American Heritage Month,3/1/2026,,3/1/2026,,,March 1 - 31,Greek American Heritage Month,
National Developmental Disabilities Awareness Month,3/1/2026,,3/1/2026,,,March 1 - 31,National Developmental Disabilities Awareness Month,
Irish American Heritage Month,3/1/2026,,3/1/2026,,,March 1 - 31,Irish American Heritage Month,
Women's History Month,3/1/2026,,3/1/2026,,,March 1 - 31,Women's History Month,
Purim (Judaism),3/2/2026,,3/2/2026,,,"(March 2-3) (Begins at sundown) (Special worship) Purim celebrates the rescue of the Jews of ancient Persia from a plot to destroy them, as related in the Book of Esther, which is read at this time. It is a joyous holiday, celebrated by wearing costumes, giving gifts to friends, giving to the poor, and socializing. Preceded by the Fast of Esther, Purim is a day of feasting. 

",,
Holi (Hinduism),3/2/2026,,3/2/2026,,,"(March 2 - 3) Holi is a joyous spring Hindu festival dedicated to Krishna in some parts of India and Kama, the God of Pleasure, in other parts. In celebration, people throw colored water or powder.",,
Sri Ramakrishna Jayanti (Hinduism),3/15/2026,,3/15/2025,,,(March 15) (Work restricted),,
Laylat al-Qadr (Islam),3/16/2026,,3/16/2026,,,"(March 16) (Begins at sundown) The Night of Power or Destiny commemorates the first revelation of the Qur'an (the Islamic scriptures) to Prophet Muhammad in 610 CE.
",,
Eid al- Fitr (Islam),3/19/2026,,3/19/2026,,,"(March 19- 20) (Begins at sundown) (Work restricted) This day is also known as the Festival of the Breaking of the Fast. One of the two main Islamic festivals (Eid al-Adha), this day celebrates the end of Ramadan, the month of fasting. It comes on the first day of the next lunar month, Shawal.",,
Now Ruz (Interfaith - National - Baháʼí - Zoroastrian),3/20/2026,,3/20/2026,,,"(March 20) (Work restricted) The seventh greatest festival, ""New Day,"" is the first day of the Zoroastrian/Persian and Baha'i New Year. It falls on the spring equinox and symbolizes the world's renewal after the winter. For Zoroastrians, Naw Ruz also celebrates the creation of fire, which is symbolic of Asha, or righteousness. It is also the day on which Zarathustra received his revelation.",,
Ramanavami (Hinduism),3/26/2026,,3/26/2026,,,"(March 26) (Special Worship) It celebrates the birthday of Rama, the seventh incarnation of the God Vishnu. Ramayana, one of the Hindu epics that tells the story of Rama, was read during the previous eight days.
 ",,
Palm Sunday (Christian - Protestant - Catholic - Orthodox Christian),3/29/2026,,3/29/2026,,,"(March 29) Palm Sunday celebrates Jesus' entry into Jerusalem, marking the beginning of Holy Week, culminating in Easter or Pascha. In some churches, Palm Sunday is combined with anticipating Christ's death and is also known as ""Passion Sunday."" Orthodox Christians often observe this Sunday on a date different from when Protestants and Roman Catholics observe it.",,
Mahavir Jayanti (Jainism),3/31/2026,,3/31/2026,,,"(March 31) (Special Worship) This day celebrates the birthday of Lord Mahavira, who was born with the name Vardhamana in ca. 599 BCE. He was later given the titles of honor, Mahavira (""Great Hero"") and Jina (""Conqueror"" or ""Victor""), and a title was also applied to the other Tirthankaras.
",,
Arab American Heritage Month,4/1/2026,,4/1/2026,,,April 1 - 30),Arab American Heritage Month,
World Autism Month,4/1/2026,,4/1/2026,,,April 1 - 30),World Autism Month,
Deaf History Month,4/1/2026,,4/1/2026,,,April 1 - 30),National Deaf History Month,
Earth Month,4/1/2026,,4/1/2026,,,April 1 - 30),Earth Month,
Passover / Pesach (Judaism),4/1/2026,,4/1/2026,,,"(April 1 - 9) Passover commemorates the Israelites' deliverance from slavery in Egypt. It is celebrated for eight days with special prayers and symbolic foods at home, starting with the Seder. This ritual meal re-enacts ancient deliverance and emphasizes the Jews' freedom under God's guidance. The first two and the last two days are holidays.",,
Maundy Thursday (Christian - Catholic-Protestant - Orthodox Christian),4/2/2026,,4/2/2026,,,"(April 2)This day commemorates the institution of the Lord's Supper/the Eucharist by Jesus before his arrest and execution. ""Maundy"" is derived from the Latin text of John 13:34, in which Jesus gives a mandatum novum (""new commandment""). Protestants and Roman Catholics observe a different date from Orthodox Christians.",,
Good Friday (Christian - Catholic - Protestant),4/3/2026,,4/3/2026,,,"(April 3) This day commemorates the Passion of Jesus Christ, i.e., his death by crucifixion. Observed as ""Holy Friday"" by Orthodox Christians.",,
Easter (Christian - Catholic-Protestant),4/5/2026,,4/5/2026,,,"(April 5) Easter celebrates the resurrection of Jesus Christ from death. It is the oldest and most important festival in the Christian year and initiates the 50 days culminating in Pentecost. Protestant and Roman Catholic Christians often observe Easter on a different date from Orthodox Christians, but in some years, they fall on the same day.",,
Eastern Orthodox Good Friday (Orthodox Christian),4/10/2026,,4/10/2026,,,"(April 10) The day commemorates the Passion of Jesus Christ, i.e., his death by crucifixion. It is the Orthodox equivalent of ""Good Friday.""",,
Eastern Orthodox Easter,4/12/2026,,4/12/2026,,,"(April 12) Easter celebrates the resurrection of Jesus Christ from death. It is the oldest and most important festival in the Christian year and initiates the 50 days culminating in Pentecost. Protestant and Roman Catholic Christians often observe Easter on a different date from Orthodox Christians, but in some years, they fall on the same day. ",,
Yom Hashoah/ Holocaust Remembrance Day (Judaism),4/13/2026,,4/13/2026,,,(April 13 - 14) (Begins at sundown) This day memorializes the six million Jews who died as victims of the Nazis during World War II and emphasizes respect for human dignity. Its observance is not limited to Jews. ,,
Vaisakhi (Sikhism),4/14/2026,,4/14/2026,,,"(April 14)This day occurs on the first day of the solar year. It is primarily an agricultural festival celebrating the harvest and is especially important in North India. It is named after the month of Vaisakh. For Sikhs, it is also the anniversary of the creation of the Khalsa (the ""Brotherhood of the Pure"") in 1699 by Guru Gobind Singh.",,
Ridván (Baháʼí),4/20/2026,,4/20/2026,,,"( April 20 - May 2) Ridván commemorates the 12 days that Baha'u'llah spent in the Garden of Ridvan in the last days of his exile in Baghdad, during which time he proclaimed himself as the one announced by Bab. Work is suspended for the first, ninth, and twelfth days.",,
National Denim Day,4/29/2026,,4/29/2026,,,(April 29) ,National Denim Day,
Asian American Heritage Month,5/1/2026,,5/1/2026,,,(May 1 - 31) ,Asian American Heriage Month,
Jewish American Heritage Month,5/1/2026,,5/1/2026,,,(May 1 - 31) ,Jewish American Heritage Month,
Mental Health Awareness Month,5/1/2026,,5/1/2026,,,(May 1 - 31) ,Mental Health Awareness Month,
Vesak (Theravada Buddhism - Mahayana Buddhism),5/1/2026,,5/1/2026,,,"(May 1) The commemoration of Buddha's birth, enlightenment, and parinirvana is celebrated on the day of the full moon of the sixth lunar month in Southeast Asian cultures; in Tibetan culture, Wesak commemorates only the enlightenment and parinirvana. The dates of this celebration vary significantly among Buddhist cultures and communities.",,
Ascension Day (Christian - Protestant),5/14/2026,,5/14/2026,,,"(May 14)(Special worship) The celebration of Jesus' ascension into heaven and enthronement as universal sovereign. It comes 40 days after Easter. The date observed by Protestants and Roman Catholics is often different from the date observed by Orthodox Christians, Celebrates the resurrection from death of Jesus Christ. It is the oldest and most important festival in the Christian year and initiates the 50-day period culminating in Pentecost. Protestant and Roman Catholic Christians often observe Easter on a different date than Orthodox Christians, but in some years they fall on the same day. ",,
Ascension Day (Eastern Orthodox Christian /Orthodox Christian),5/21/2026,,5/21/2026,,,"(May 21) (Special worship) The celebration of Jesus' ascension into heaven and enthronement as universal sovereign comes 40 days after Easter. Protestants and Roman Catholics often observe a different date from Orthodox Christians, but they fall on the same day in some years. ",,
Shavuot (Judaism),5/21/2026,,5/21/2026,,,"(May 21) (Begins at sundown) Shavuot marks the conclusion of the seven weeks following Pesach (Passover). It is a celebration of the harvest of first fruits and commemorates the giving of the Torah and Commandments at Mount Sinai.
",,
Declaration of the Báb (Baháʼí),5/23/2026,,5/23/2026,,,"(May 23 - 24) (Begins at sundown)  Commemorates the day in 1844 on which he announced his identity as the ""Bab"" (""Gate""), the herald of the new age.
",,
Pentecost (Christian - Protestant - Catholic),5/24/2026,,5/24/2026,,,"(May 24) The commemoration of the coming of the Holy Spirit upon the disciples of Jesus following his ascension, Pentecost, is considered the ""birthday"" of the Christian church (Acts 2:1-11). It comes 50 days after Easter (Pascha, Orthodox Easter). Roman Catholic and Protestant Christians often observe Pentecost on a different date from Orthodox Christians.",,
Holy day of Arafah ( Islam),5/26/2026,,5/26/2026,,,(May 26 -27) (Begins at sundown),Eid-Al-Adha ,
Eid-al-Adha (Islam),5/26/2026,,5/26/2026,,,"(May 26 - 27) (Festival of Sacrifice) One of the two main Islamic festivals (Eid al-Fitr), this festival falls on the 10th day of the lunar month of Zul-Hijja and is the concluding act of pilgrimage to Mecca. In commemoration of Abraham’s faith, sheep, goats, and camels are offered to God, and the meat is distributed to the poor and needy. Eid al-Adha is observed whether or not one is on pilgrimage.",,
Ascension of Bahá’u’lláh (Baháʼí),5/28/2026,,5/28/2026,,,(May 28 - 29) This day marks the anniversary of the death of the founder of the Baha'i faith. Work is suspended on this day.,,
LGBTQ+ Pride Month,6/1/2026,,6/1/2026,,,(June 1 - 30),LGBTQ+ Pride Month,
National Caribbean American Heritage Month,6/1/2026,,6/1/2026,,,(June 1 - 30),National Caribbean American Heritage Month,
Eid al-Ghadeer (Islam),6/3/2026,,6/3/2026,,,June 3 - 4),Eid-Al- Ghadeer,
Martyrdom of Guru Arjan Dev Ji (Sikhism),6/16/2026,,6/16/2026,,,"(June 16) (1563-1606) The fifth Guru, Arjan, built the Golden Temple of Amritsar to emphasize that the Sikh way was open to all, regardless of caste; the temple's doors faced all four directions. Arjan, the first Sikh martyr, is also remembered for his contributions to the compilation of the Sikh Scriptures.",,
1st of Muharram /Islamic New Year (Islam),6/16/2026,,6/16/2026,,,(June 16- July 14) (Begins at sundown),Muharram ,
Juneteenth (Interfaith/ African American),6/19/2026,,6/19/2026,,,(June 19),Juneteenth,
